image_path,labels
garbage_classification\clothes\clothes2892.jpg,clothes
garbage_classification\battery\battery441.jpg,battery
garbage_classification\clothes\clothes4485.jpg,clothes
garbage_classification\clothes\clothes699.jpg,clothes
garbage_classification\green-glass\green-glass123.jpg,green-glass
garbage_classification\green-glass\green-glass201.jpg,green-glass
garbage_classification\metal\metal491.jpg,metal
garbage_classification\cardboard\cardboard457.jpg,cardboard
garbage_classification\paper\paper114.jpg,paper
garbage_classification\shoes\shoes266.jpg,shoes
garbage_classification\biological\biological298.jpg,biological
garbage_classification\paper\paper767.jpg,paper
garbage_classification\white-glass\white-glass691.jpg,white-glass
garbage_classification\clothes\clothes3287.jpg,clothes
garbage_classification\biological\biological683.jpg,biological
garbage_classification\paper\paper366.jpg,paper
garbage_classification\clothes\clothes5045.jpg,clothes
garbage_classification\shoes\shoes1887.jpg,shoes
garbage_classification\battery\battery85.jpg,battery
garbage_classification\clothes\clothes1826.jpg,clothes
garbage_classification\battery\battery204.jpg,battery
garbage_classification\clothes\clothes2677.jpg,clothes
garbage_classification\green-glass\green-glass214.jpg,green-glass
garbage_classification\cardboard\cardboard469.jpg,cardboard
garbage_classification\paper\paper175.jpg,paper
garbage_classification\trash\trash147.jpg,trash
garbage_classification\shoes\shoes751.jpg,shoes
garbage_classification\clothes\clothes1026.jpg,clothes
garbage_classification\shoes\shoes1078.jpg,shoes
garbage_classification\clothes\clothes4030.jpg,clothes
garbage_classification\battery\battery364.jpg,battery
garbage_classification\clothes\clothes4168.jpg,clothes
garbage_classification\clothes\clothes235.jpg,clothes
garbage_classification\white-glass\white-glass364.jpg,white-glass
garbage_classification\shoes\shoes486.jpg,shoes
garbage_classification\white-glass\white-glass543.jpg,white-glass
garbage_classification\shoes\shoes1817.jpg,shoes
garbage_classification\clothes\clothes1380.jpg,clothes
garbage_classification\clothes\clothes3731.jpg,clothes
garbage_classification\brown-glass\brown-glass534.jpg,brown-glass
garbage_classification\shoes\shoes1682.jpg,shoes
garbage_classification\clothes\clothes2686.jpg,clothes
garbage_classification\plastic\plastic371.jpg,plastic
garbage_classification\cardboard\cardboard823.jpg,cardboard
garbage_classification\clothes\clothes2997.jpg,clothes
garbage_classification\brown-glass\brown-glass24.jpg,brown-glass
garbage_classification\clothes\clothes1001.jpg,clothes
garbage_classification\green-glass\green-glass415.jpg,green-glass
garbage_classification\shoes\shoes955.jpg,shoes
garbage_classification\battery\battery205.jpg,battery
garbage_classification\battery\battery262.jpg,battery
garbage_classification\paper\paper950.jpg,paper
garbage_classification\metal\metal717.jpg,metal
garbage_classification\clothes\clothes295.jpg,clothes
garbage_classification\biological\biological3.jpg,biological
garbage_classification\trash\trash233.jpg,trash
garbage_classification\shoes\shoes515.jpg,shoes
garbage_classification\clothes\clothes798.jpg,clothes
garbage_classification\battery\battery351.jpg,battery
garbage_classification\biological\biological188.jpg,biological
garbage_classification\shoes\shoes398.jpg,shoes
garbage_classification\brown-glass\brown-glass154.jpg,brown-glass
garbage_classification\biological\biological557.jpg,biological
garbage_classification\clothes\clothes4146.jpg,clothes
garbage_classification\clothes\clothes3022.jpg,clothes
garbage_classification\trash\trash340.jpg,trash
garbage_classification\paper\paper1015.jpg,paper
garbage_classification\clothes\clothes1132.jpg,clothes
garbage_classification\brown-glass\brown-glass64.jpg,brown-glass
garbage_classification\plastic\plastic207.jpg,plastic
garbage_classification\white-glass\white-glass715.jpg,white-glass
garbage_classification\clothes\clothes4836.jpg,clothes
garbage_classification\clothes\clothes3493.jpg,clothes
garbage_classification\plastic\plastic800.jpg,plastic
garbage_classification\white-glass\white-glass292.jpg,white-glass
garbage_classification\clothes\clothes1822.jpg,clothes
garbage_classification\white-glass\white-glass291.jpg,white-glass
garbage_classification\plastic\plastic194.jpg,plastic
garbage_classification\shoes\shoes1839.jpg,shoes
garbage_classification\plastic\plastic156.jpg,plastic
garbage_classification\plastic\plastic410.jpg,plastic
garbage_classification\clothes\clothes1269.jpg,clothes
garbage_classification\white-glass\white-glass281.jpg,white-glass
garbage_classification\clothes\clothes2706.jpg,clothes
garbage_classification\white-glass\white-glass536.jpg,white-glass
garbage_classification\paper\paper1040.jpg,paper
garbage_classification\clothes\clothes1085.jpg,clothes
garbage_classification\biological\biological454.jpg,biological
garbage_classification\white-glass\white-glass725.jpg,white-glass
garbage_classification\metal\metal400.jpg,metal
garbage_classification\trash\trash138.jpg,trash
garbage_classification\green-glass\green-glass456.jpg,green-glass
garbage_classification\green-glass\green-glass328.jpg,green-glass
garbage_classification\clothes\clothes4009.jpg,clothes
garbage_classification\biological\biological901.jpg,biological
garbage_classification\clothes\clothes273.jpg,clothes
garbage_classification\plastic\plastic175.jpg,plastic
garbage_classification\paper\paper526.jpg,paper
garbage_classification\metal\metal252.jpg,metal
garbage_classification\clothes\clothes812.jpg,clothes
garbage_classification\clothes\clothes1149.jpg,clothes
garbage_classification\cardboard\cardboard552.jpg,cardboard
garbage_classification\paper\paper381.jpg,paper
garbage_classification\paper\paper333.jpg,paper
garbage_classification\clothes\clothes4921.jpg,clothes
garbage_classification\brown-glass\brown-glass323.jpg,brown-glass
garbage_classification\clothes\clothes4451.jpg,clothes
garbage_classification\clothes\clothes2099.jpg,clothes
garbage_classification\shoes\shoes1130.jpg,shoes
garbage_classification\plastic\plastic702.jpg,plastic
garbage_classification\green-glass\green-glass571.jpg,green-glass
garbage_classification\paper\paper295.jpg,paper
garbage_classification\plastic\plastic171.jpg,plastic
garbage_classification\biological\biological741.jpg,biological
garbage_classification\white-glass\white-glass550.jpg,white-glass
garbage_classification\plastic\plastic372.jpg,plastic
garbage_classification\cardboard\cardboard683.jpg,cardboard
garbage_classification\clothes\clothes1923.jpg,clothes
garbage_classification\paper\paper493.jpg,paper
garbage_classification\clothes\clothes1792.jpg,clothes
garbage_classification\shoes\shoes650.jpg,shoes
garbage_classification\shoes\shoes1005.jpg,shoes
garbage_classification\battery\battery162.jpg,battery
garbage_classification\metal\metal684.jpg,metal
garbage_classification\plastic\plastic779.jpg,plastic
garbage_classification\shoes\shoes121.jpg,shoes
garbage_classification\clothes\clothes345.jpg,clothes
garbage_classification\clothes\clothes5304.jpg,clothes
garbage_classification\plastic\plastic190.jpg,plastic
garbage_classification\white-glass\white-glass505.jpg,white-glass
garbage_classification\shoes\shoes1029.jpg,shoes
garbage_classification\paper\paper686.jpg,paper
garbage_classification\paper\paper997.jpg,paper
garbage_classification\clothes\clothes44.jpg,clothes
garbage_classification\clothes\clothes36.jpg,clothes
garbage_classification\clothes\clothes3546.jpg,clothes
garbage_classification\paper\paper386.jpg,paper
garbage_classification\clothes\clothes1459.jpg,clothes
garbage_classification\clothes\clothes4227.jpg,clothes
garbage_classification\biological\biological947.jpg,biological
garbage_classification\clothes\clothes548.jpg,clothes
garbage_classification\trash\trash226.jpg,trash
garbage_classification\clothes\clothes4354.jpg,clothes
garbage_classification\cardboard\cardboard447.jpg,cardboard
garbage_classification\battery\battery561.jpg,battery
garbage_classification\white-glass\white-glass354.jpg,white-glass
garbage_classification\clothes\clothes3730.jpg,clothes
garbage_classification\white-glass\white-glass107.jpg,white-glass
garbage_classification\clothes\clothes1098.jpg,clothes
garbage_classification\shoes\shoes806.jpg,shoes
garbage_classification\biological\biological510.jpg,biological
garbage_classification\battery\battery225.jpg,battery
garbage_classification\shoes\shoes416.jpg,shoes
garbage_classification\brown-glass\brown-glass536.jpg,brown-glass
garbage_classification\biological\biological640.jpg,biological
garbage_classification\green-glass\green-glass230.jpg,green-glass
garbage_classification\clothes\clothes4344.jpg,clothes
garbage_classification\shoes\shoes714.jpg,shoes
garbage_classification\metal\metal694.jpg,metal
garbage_classification\plastic\plastic116.jpg,plastic
garbage_classification\clothes\clothes2243.jpg,clothes
garbage_classification\clothes\clothes990.jpg,clothes
garbage_classification\plastic\plastic810.jpg,plastic
garbage_classification\clothes\clothes3078.jpg,clothes
garbage_classification\clothes\clothes3020.jpg,clothes
garbage_classification\plastic\plastic838.jpg,plastic
garbage_classification\shoes\shoes842.jpg,shoes
garbage_classification\trash\trash657.jpg,trash
garbage_classification\clothes\clothes967.jpg,clothes
garbage_classification\brown-glass\brown-glass349.jpg,brown-glass
garbage_classification\clothes\clothes2349.jpg,clothes
garbage_classification\biological\biological201.jpg,biological
garbage_classification\clothes\clothes3155.jpg,clothes
garbage_classification\paper\paper253.jpg,paper
garbage_classification\cardboard\cardboard664.jpg,cardboard
garbage_classification\clothes\clothes1352.jpg,clothes
garbage_classification\shoes\shoes210.jpg,shoes
garbage_classification\paper\paper886.jpg,paper
garbage_classification\shoes\shoes1876.jpg,shoes
garbage_classification\trash\trash4.jpg,trash
garbage_classification\shoes\shoes392.jpg,shoes
garbage_classification\cardboard\cardboard691.jpg,cardboard
garbage_classification\clothes\clothes2334.jpg,clothes
garbage_classification\white-glass\white-glass373.jpg,white-glass
garbage_classification\shoes\shoes1468.jpg,shoes
garbage_classification\battery\battery575.jpg,battery
garbage_classification\white-glass\white-glass520.jpg,white-glass
garbage_classification\clothes\clothes4818.jpg,clothes
garbage_classification\white-glass\white-glass400.jpg,white-glass
garbage_classification\clothes\clothes4442.jpg,clothes
garbage_classification\shoes\shoes53.jpg,shoes
garbage_classification\clothes\clothes4213.jpg,clothes
garbage_classification\white-glass\white-glass722.jpg,white-glass
garbage_classification\white-glass\white-glass210.jpg,white-glass
garbage_classification\plastic\plastic401.jpg,plastic
garbage_classification\clothes\clothes2411.jpg,clothes
garbage_classification\shoes\shoes1283.jpg,shoes
garbage_classification\battery\battery844.jpg,battery
garbage_classification\green-glass\green-glass338.jpg,green-glass
garbage_classification\clothes\clothes5246.jpg,clothes
garbage_classification\biological\biological316.jpg,biological
garbage_classification\trash\trash243.jpg,trash
garbage_classification\cardboard\cardboard262.jpg,cardboard
garbage_classification\clothes\clothes4298.jpg,clothes
garbage_classification\paper\paper479.jpg,paper
garbage_classification\clothes\clothes4304.jpg,clothes
garbage_classification\shoes\shoes88.jpg,shoes
garbage_classification\trash\trash108.jpg,trash
garbage_classification\biological\biological642.jpg,biological
garbage_classification\clothes\clothes1949.jpg,clothes
garbage_classification\clothes\clothes2055.jpg,clothes
garbage_classification\metal\metal286.jpg,metal
garbage_classification\shoes\shoes1760.jpg,shoes
garbage_classification\biological\biological629.jpg,biological
garbage_classification\clothes\clothes2784.jpg,clothes
garbage_classification\clothes\clothes1308.jpg,clothes
garbage_classification\shoes\shoes356.jpg,shoes
garbage_classification\clothes\clothes2267.jpg,clothes
garbage_classification\brown-glass\brown-glass478.jpg,brown-glass
garbage_classification\clothes\clothes2357.jpg,clothes
garbage_classification\cardboard\cardboard720.jpg,cardboard
garbage_classification\clothes\clothes1794.jpg,clothes
garbage_classification\brown-glass\brown-glass62.jpg,brown-glass
garbage_classification\clothes\clothes3909.jpg,clothes
garbage_classification\metal\metal19.jpg,metal
garbage_classification\clothes\clothes3410.jpg,clothes
garbage_classification\clothes\clothes3305.jpg,clothes
garbage_classification\green-glass\green-glass243.jpg,green-glass
garbage_classification\white-glass\white-glass423.jpg,white-glass
garbage_classification\white-glass\white-glass189.jpg,white-glass
garbage_classification\plastic\plastic804.jpg,plastic
garbage_classification\clothes\clothes15.jpg,clothes
garbage_classification\biological\biological797.jpg,biological
garbage_classification\metal\metal206.jpg,metal
garbage_classification\paper\paper769.jpg,paper
garbage_classification\clothes\clothes2037.jpg,clothes
garbage_classification\plastic\plastic359.jpg,plastic
garbage_classification\clothes\clothes4737.jpg,clothes
garbage_classification\white-glass\white-glass566.jpg,white-glass
garbage_classification\cardboard\cardboard154.jpg,cardboard
garbage_classification\clothes\clothes511.jpg,clothes
garbage_classification\clothes\clothes2322.jpg,clothes
garbage_classification\green-glass\green-glass249.jpg,green-glass
garbage_classification\clothes\clothes3891.jpg,clothes
garbage_classification\white-glass\white-glass383.jpg,white-glass
garbage_classification\clothes\clothes3609.jpg,clothes
garbage_classification\paper\paper160.jpg,paper
garbage_classification\paper\paper994.jpg,paper
garbage_classification\white-glass\white-glass534.jpg,white-glass
garbage_classification\plastic\plastic219.jpg,plastic
garbage_classification\paper\paper539.jpg,paper
garbage_classification\paper\paper838.jpg,paper
garbage_classification\clothes\clothes4431.jpg,clothes
garbage_classification\trash\trash335.jpg,trash
garbage_classification\clothes\clothes910.jpg,clothes
garbage_classification\clothes\clothes893.jpg,clothes
garbage_classification\clothes\clothes5065.jpg,clothes
garbage_classification\shoes\shoes120.jpg,shoes
garbage_classification\clothes\clothes2248.jpg,clothes
garbage_classification\paper\paper777.jpg,paper
garbage_classification\clothes\clothes587.jpg,clothes
garbage_classification\clothes\clothes3690.jpg,clothes
garbage_classification\battery\battery636.jpg,battery
garbage_classification\clothes\clothes79.jpg,clothes
garbage_classification\metal\metal513.jpg,metal
garbage_classification\battery\battery203.jpg,battery
garbage_classification\clothes\clothes1337.jpg,clothes
garbage_classification\trash\trash697.jpg,trash
garbage_classification\shoes\shoes1007.jpg,shoes
garbage_classification\battery\battery283.jpg,battery
garbage_classification\clothes\clothes737.jpg,clothes
garbage_classification\clothes\clothes3380.jpg,clothes
garbage_classification\clothes\clothes3965.jpg,clothes
garbage_classification\shoes\shoes1398.jpg,shoes
garbage_classification\white-glass\white-glass714.jpg,white-glass
garbage_classification\shoes\shoes1958.jpg,shoes
garbage_classification\trash\trash522.jpg,trash
garbage_classification\paper\paper426.jpg,paper
garbage_classification\battery\battery180.jpg,battery
garbage_classification\shoes\shoes847.jpg,shoes
garbage_classification\plastic\plastic142.jpg,plastic
garbage_classification\paper\paper245.jpg,paper
garbage_classification\clothes\clothes5289.jpg,clothes
garbage_classification\shoes\shoes1846.jpg,shoes
garbage_classification\paper\paper547.jpg,paper
garbage_classification\trash\trash379.jpg,trash
garbage_classification\clothes\clothes4208.jpg,clothes
garbage_classification\clothes\clothes1203.jpg,clothes
garbage_classification\shoes\shoes581.jpg,shoes
garbage_classification\shoes\shoes43.jpg,shoes
garbage_classification\shoes\shoes1489.jpg,shoes
garbage_classification\brown-glass\brown-glass27.jpg,brown-glass
garbage_classification\metal\metal480.jpg,metal
garbage_classification\paper\paper150.jpg,paper
garbage_classification\clothes\clothes2076.jpg,clothes
garbage_classification\green-glass\green-glass52.jpg,green-glass
garbage_classification\trash\trash638.jpg,trash
garbage_classification\shoes\shoes645.jpg,shoes
garbage_classification\clothes\clothes2152.jpg,clothes
garbage_classification\brown-glass\brown-glass261.jpg,brown-glass
garbage_classification\clothes\clothes3916.jpg,clothes
garbage_classification\cardboard\cardboard781.jpg,cardboard
garbage_classification\shoes\shoes1944.jpg,shoes
garbage_classification\cardboard\cardboard647.jpg,cardboard
garbage_classification\metal\metal654.jpg,metal
garbage_classification\clothes\clothes3763.jpg,clothes
garbage_classification\metal\metal607.jpg,metal
garbage_classification\cardboard\cardboard101.jpg,cardboard
garbage_classification\green-glass\green-glass210.jpg,green-glass
garbage_classification\clothes\clothes2434.jpg,clothes
garbage_classification\cardboard\cardboard228.jpg,cardboard
garbage_classification\plastic\plastic281.jpg,plastic
garbage_classification\cardboard\cardboard295.jpg,cardboard
garbage_classification\clothes\clothes4752.jpg,clothes
garbage_classification\biological\biological548.jpg,biological
garbage_classification\biological\biological197.jpg,biological
garbage_classification\clothes\clothes1077.jpg,clothes
garbage_classification\clothes\clothes3356.jpg,clothes
garbage_classification\clothes\clothes2282.jpg,clothes
garbage_classification\plastic\plastic700.jpg,plastic
garbage_classification\clothes\clothes727.jpg,clothes
garbage_classification\battery\battery165.jpg,battery
garbage_classification\clothes\clothes3254.jpg,clothes
garbage_classification\biological\biological238.jpg,biological
garbage_classification\clothes\clothes4350.jpg,clothes
garbage_classification\clothes\clothes2493.jpg,clothes
garbage_classification\cardboard\cardboard885.jpg,cardboard
garbage_classification\green-glass\green-glass589.jpg,green-glass
garbage_classification\shoes\shoes360.jpg,shoes
garbage_classification\clothes\clothes2528.jpg,clothes
garbage_classification\cardboard\cardboard25.jpg,cardboard
garbage_classification\clothes\clothes176.jpg,clothes
garbage_classification\plastic\plastic112.jpg,plastic
garbage_classification\trash\trash121.jpg,trash
garbage_classification\clothes\clothes4185.jpg,clothes
garbage_classification\biological\biological478.jpg,biological
garbage_classification\clothes\clothes4761.jpg,clothes
garbage_classification\shoes\shoes459.jpg,shoes
garbage_classification\white-glass\white-glass513.jpg,white-glass
garbage_classification\trash\trash416.jpg,trash
garbage_classification\trash\trash316.jpg,trash
garbage_classification\brown-glass\brown-glass445.jpg,brown-glass
garbage_classification\metal\metal593.jpg,metal
garbage_classification\white-glass\white-glass235.jpg,white-glass
garbage_classification\white-glass\white-glass200.jpg,white-glass
garbage_classification\biological\biological717.jpg,biological
garbage_classification\shoes\shoes1568.jpg,shoes
garbage_classification\clothes\clothes2884.jpg,clothes
garbage_classification\shoes\shoes462.jpg,shoes
garbage_classification\metal\metal469.jpg,metal
garbage_classification\trash\trash633.jpg,trash
garbage_classification\clothes\clothes3858.jpg,clothes
garbage_classification\clothes\clothes4153.jpg,clothes
garbage_classification\clothes\clothes1690.jpg,clothes
garbage_classification\metal\metal155.jpg,metal
garbage_classification\green-glass\green-glass92.jpg,green-glass
garbage_classification\clothes\clothes5247.jpg,clothes
garbage_classification\shoes\shoes1592.jpg,shoes
garbage_classification\clothes\clothes5133.jpg,clothes
garbage_classification\green-glass\green-glass317.jpg,green-glass
garbage_classification\trash\trash655.jpg,trash
garbage_classification\paper\paper128.jpg,paper
garbage_classification\clothes\clothes2956.jpg,clothes
garbage_classification\white-glass\white-glass205.jpg,white-glass
garbage_classification\clothes\clothes3071.jpg,clothes
garbage_classification\cardboard\cardboard534.jpg,cardboard
garbage_classification\battery\battery759.jpg,battery
garbage_classification\clothes\clothes1055.jpg,clothes
garbage_classification\shoes\shoes1851.jpg,shoes
garbage_classification\battery\battery260.jpg,battery
garbage_classification\battery\battery411.jpg,battery
garbage_classification\trash\trash454.jpg,trash
garbage_classification\shoes\shoes163.jpg,shoes
garbage_classification\paper\paper215.jpg,paper
garbage_classification\cardboard\cardboard708.jpg,cardboard
garbage_classification\plastic\plastic537.jpg,plastic
garbage_classification\metal\metal70.jpg,metal
garbage_classification\clothes\clothes3068.jpg,clothes
garbage_classification\clothes\clothes3426.jpg,clothes
garbage_classification\shoes\shoes1886.jpg,shoes
garbage_classification\clothes\clothes940.jpg,clothes
garbage_classification\clothes\clothes3194.jpg,clothes
garbage_classification\biological\biological351.jpg,biological
garbage_classification\plastic\plastic350.jpg,plastic
garbage_classification\plastic\plastic768.jpg,plastic
garbage_classification\paper\paper1030.jpg,paper
garbage_classification\metal\metal125.jpg,metal
garbage_classification\battery\battery782.jpg,battery
garbage_classification\clothes\clothes5190.jpg,clothes
garbage_classification\biological\biological473.jpg,biological
garbage_classification\clothes\clothes1306.jpg,clothes
garbage_classification\clothes\clothes630.jpg,clothes
garbage_classification\plastic\plastic37.jpg,plastic
garbage_classification\clothes\clothes4113.jpg,clothes
garbage_classification\paper\paper139.jpg,paper
garbage_classification\white-glass\white-glass324.jpg,white-glass
garbage_classification\biological\biological75.jpg,biological
garbage_classification\paper\paper673.jpg,paper
garbage_classification\white-glass\white-glass157.jpg,white-glass
garbage_classification\brown-glass\brown-glass29.jpg,brown-glass
garbage_classification\white-glass\white-glass368.jpg,white-glass
garbage_classification\clothes\clothes5305.jpg,clothes
garbage_classification\paper\paper939.jpg,paper
garbage_classification\clothes\clothes4513.jpg,clothes
garbage_classification\clothes\clothes1357.jpg,clothes
garbage_classification\brown-glass\brown-glass201.jpg,brown-glass
garbage_classification\clothes\clothes3910.jpg,clothes
garbage_classification\paper\paper522.jpg,paper
garbage_classification\clothes\clothes2786.jpg,clothes
garbage_classification\clothes\clothes1091.jpg,clothes
garbage_classification\plastic\plastic769.jpg,plastic
garbage_classification\clothes\clothes3433.jpg,clothes
garbage_classification\shoes\shoes613.jpg,shoes
garbage_classification\plastic\plastic573.jpg,plastic
garbage_classification\plastic\plastic431.jpg,plastic
garbage_classification\clothes\clothes2973.jpg,clothes
garbage_classification\clothes\clothes160.jpg,clothes
garbage_classification\battery\battery366.jpg,battery
garbage_classification\brown-glass\brown-glass570.jpg,brown-glass
garbage_classification\clothes\clothes2134.jpg,clothes
garbage_classification\trash\trash658.jpg,trash
garbage_classification\clothes\clothes4924.jpg,clothes
garbage_classification\clothes\clothes4405.jpg,clothes
garbage_classification\plastic\plastic751.jpg,plastic
garbage_classification\paper\paper956.jpg,paper
garbage_classification\clothes\clothes4183.jpg,clothes
garbage_classification\battery\battery781.jpg,battery
garbage_classification\battery\battery14.jpg,battery
garbage_classification\biological\biological440.jpg,biological
garbage_classification\paper\paper155.jpg,paper
garbage_classification\plastic\plastic145.jpg,plastic
garbage_classification\biological\biological669.jpg,biological
garbage_classification\clothes\clothes1302.jpg,clothes
garbage_classification\shoes\shoes1612.jpg,shoes
garbage_classification\metal\metal713.jpg,metal
garbage_classification\battery\battery207.jpg,battery
garbage_classification\cardboard\cardboard514.jpg,cardboard
garbage_classification\plastic\plastic356.jpg,plastic
garbage_classification\paper\paper13.jpg,paper
garbage_classification\clothes\clothes2619.jpg,clothes
garbage_classification\biological\biological924.jpg,biological
garbage_classification\paper\paper480.jpg,paper
garbage_classification\shoes\shoes1547.jpg,shoes
garbage_classification\clothes\clothes1879.jpg,clothes
garbage_classification\clothes\clothes1397.jpg,clothes
garbage_classification\biological\biological28.jpg,biological
garbage_classification\cardboard\cardboard410.jpg,cardboard
garbage_classification\clothes\clothes4966.jpg,clothes
garbage_classification\brown-glass\brown-glass364.jpg,brown-glass
garbage_classification\white-glass\white-glass245.jpg,white-glass
garbage_classification\clothes\clothes4753.jpg,clothes
garbage_classification\biological\biological652.jpg,biological
garbage_classification\battery\battery805.jpg,battery
garbage_classification\shoes\shoes282.jpg,shoes
garbage_classification\clothes\clothes1829.jpg,clothes
garbage_classification\brown-glass\brown-glass296.jpg,brown-glass
garbage_classification\plastic\plastic556.jpg,plastic
garbage_classification\metal\metal122.jpg,metal
garbage_classification\clothes\clothes4593.jpg,clothes
garbage_classification\plastic\plastic581.jpg,plastic
garbage_classification\cardboard\cardboard643.jpg,cardboard
garbage_classification\metal\metal262.jpg,metal
garbage_classification\battery\battery765.jpg,battery
garbage_classification\white-glass\white-glass202.jpg,white-glass
garbage_classification\clothes\clothes2729.jpg,clothes
garbage_classification\paper\paper546.jpg,paper
garbage_classification\metal\metal666.jpg,metal
garbage_classification\clothes\clothes4258.jpg,clothes
garbage_classification\clothes\clothes1472.jpg,clothes
garbage_classification\green-glass\green-glass293.jpg,green-glass
garbage_classification\clothes\clothes2194.jpg,clothes
garbage_classification\trash\trash134.jpg,trash
garbage_classification\clothes\clothes263.jpg,clothes
garbage_classification\plastic\plastic590.jpg,plastic
garbage_classification\clothes\clothes2925.jpg,clothes
garbage_classification\clothes\clothes1187.jpg,clothes
garbage_classification\trash\trash280.jpg,trash
garbage_classification\paper\paper252.jpg,paper
garbage_classification\paper\paper993.jpg,paper
garbage_classification\biological\biological845.jpg,biological
garbage_classification\cardboard\cardboard486.jpg,cardboard
garbage_classification\biological\biological63.jpg,biological
garbage_classification\brown-glass\brown-glass59.jpg,brown-glass
garbage_classification\plastic\plastic783.jpg,plastic
garbage_classification\clothes\clothes845.jpg,clothes
garbage_classification\white-glass\white-glass696.jpg,white-glass
garbage_classification\paper\paper74.jpg,paper
garbage_classification\green-glass\green-glass192.jpg,green-glass
garbage_classification\biological\biological431.jpg,biological
garbage_classification\plastic\plastic539.jpg,plastic
garbage_classification\green-glass\green-glass360.jpg,green-glass
garbage_classification\metal\metal405.jpg,metal
garbage_classification\biological\biological891.jpg,biological
garbage_classification\clothes\clothes844.jpg,clothes
garbage_classification\white-glass\white-glass307.jpg,white-glass
garbage_classification\clothes\clothes1668.jpg,clothes
garbage_classification\paper\paper835.jpg,paper
garbage_classification\biological\biological434.jpg,biological
garbage_classification\shoes\shoes50.jpg,shoes
garbage_classification\green-glass\green-glass95.jpg,green-glass
garbage_classification\shoes\shoes1756.jpg,shoes
garbage_classification\clothes\clothes5311.jpg,clothes
garbage_classification\clothes\clothes3872.jpg,clothes
garbage_classification\biological\biological619.jpg,biological
garbage_classification\paper\paper440.jpg,paper
garbage_classification\clothes\clothes3145.jpg,clothes
garbage_classification\clothes\clothes3245.jpg,clothes
garbage_classification\plastic\plastic377.jpg,plastic
garbage_classification\paper\paper120.jpg,paper
garbage_classification\clothes\clothes348.jpg,clothes
garbage_classification\biological\biological87.jpg,biological
garbage_classification\clothes\clothes1410.jpg,clothes
garbage_classification\plastic\plastic821.jpg,plastic
garbage_classification\clothes\clothes3786.jpg,clothes
garbage_classification\shoes\shoes1736.jpg,shoes
garbage_classification\battery\battery760.jpg,battery
garbage_classification\metal\metal354.jpg,metal
garbage_classification\brown-glass\brown-glass517.jpg,brown-glass
garbage_classification\clothes\clothes1199.jpg,clothes
garbage_classification\clothes\clothes2554.jpg,clothes
garbage_classification\clothes\clothes4680.jpg,clothes
garbage_classification\trash\trash622.jpg,trash
garbage_classification\white-glass\white-glass172.jpg,white-glass
garbage_classification\metal\metal467.jpg,metal
garbage_classification\clothes\clothes1381.jpg,clothes
garbage_classification\brown-glass\brown-glass152.jpg,brown-glass
garbage_classification\clothes\clothes5276.jpg,clothes
garbage_classification\biological\biological212.jpg,biological
garbage_classification\clothes\clothes1105.jpg,clothes
garbage_classification\clothes\clothes1102.jpg,clothes
garbage_classification\green-glass\green-glass329.jpg,green-glass
garbage_classification\shoes\shoes720.jpg,shoes
garbage_classification\shoes\shoes1795.jpg,shoes
garbage_classification\paper\paper536.jpg,paper
garbage_classification\metal\metal13.jpg,metal
garbage_classification\clothes\clothes2781.jpg,clothes
garbage_classification\trash\trash526.jpg,trash
garbage_classification\paper\paper122.jpg,paper
garbage_classification\trash\trash459.jpg,trash
garbage_classification\metal\metal696.jpg,metal
garbage_classification\battery\battery361.jpg,battery
garbage_classification\biological\biological168.jpg,biological
garbage_classification\clothes\clothes3237.jpg,clothes
garbage_classification\clothes\clothes251.jpg,clothes
garbage_classification\cardboard\cardboard729.jpg,cardboard
garbage_classification\green-glass\green-glass391.jpg,green-glass
garbage_classification\clothes\clothes2992.jpg,clothes
garbage_classification\cardboard\cardboard202.jpg,cardboard
garbage_classification\clothes\clothes4413.jpg,clothes
garbage_classification\clothes\clothes4661.jpg,clothes
garbage_classification\clothes\clothes961.jpg,clothes
garbage_classification\shoes\shoes1872.jpg,shoes
garbage_classification\trash\trash10.jpg,trash
garbage_classification\cardboard\cardboard327.jpg,cardboard
garbage_classification\plastic\plastic287.jpg,plastic
garbage_classification\shoes\shoes424.jpg,shoes
garbage_classification\clothes\clothes3594.jpg,clothes
garbage_classification\clothes\clothes3557.jpg,clothes
garbage_classification\biological\biological852.jpg,biological
garbage_classification\shoes\shoes790.jpg,shoes
garbage_classification\clothes\clothes619.jpg,clothes
garbage_classification\clothes\clothes1948.jpg,clothes
garbage_classification\plastic\plastic613.jpg,plastic
garbage_classification\clothes\clothes941.jpg,clothes
garbage_classification\clothes\clothes331.jpg,clothes
garbage_classification\shoes\shoes753.jpg,shoes
garbage_classification\metal\metal591.jpg,metal
garbage_classification\shoes\shoes1172.jpg,shoes
garbage_classification\shoes\shoes1713.jpg,shoes
garbage_classification\battery\battery121.jpg,battery
garbage_classification\clothes\clothes1266.jpg,clothes
garbage_classification\white-glass\white-glass606.jpg,white-glass
garbage_classification\shoes\shoes675.jpg,shoes
garbage_classification\clothes\clothes5053.jpg,clothes
garbage_classification\paper\paper629.jpg,paper
garbage_classification\plastic\plastic696.jpg,plastic
garbage_classification\clothes\clothes3038.jpg,clothes
garbage_classification\trash\trash679.jpg,trash
garbage_classification\clothes\clothes3368.jpg,clothes
garbage_classification\clothes\clothes1062.jpg,clothes
garbage_classification\plastic\plastic69.jpg,plastic
